z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,557.0,42656.15,42671.44,42624.44,42674.82
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,558.0,42671.45,42712.19,42666.47,42714.39
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,559.0,42712.19,42684.78,42679.47,42717.57
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,560.0,42684.78,42661.7,42656.37,42690.4
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,561.0,42663.24,42768.3,42657.63,42786.7
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,562.0,42768.46,42746.91,42731.78,42784.85
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,563.0,42746.9,42730.36,42721.79,42769.45
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,564.0,42730.36,42801.71,42679.03,42870.28
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,565.0,42801.72,42848.43,42801.72,42895.67
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,566.0,42848.42,42891.68,42848.42,42909.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,567.0,42891.68,42852.23,42830.0,42897.07
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,568.0,42852.22,42804.58,42800.0,42870.09
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,569.0,42804.58,42812.74,42775.42,42851.39
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,570.0,42812.72,42727.2,42723.26,42825.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,571.0,42727.2,42814.99,42716.66,42815.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,572.0,42815.0,42808.66,42777.0,42836.8
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,573.0,42811.58,42758.24,42737.84,42838.68
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,574.0,42758.23,42696.87,42656.17,42758.23
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,575.0,42696.82,42753.44,42674.5,42759.66
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,576.0,42749.84,42869.87,42716.23,42906.31
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,577.0,42869.88,42887.74,42776.95,42904.16
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,578.0,42887.75,42947.98,42840.85,42972.03
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,579.0,42945.39,42855.1,42831.05,42984.77
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,580.0,42855.1,42782.62,42744.96,42874.23
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,581.0,42782.05,42864.11,42771.95,42868.68
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,582.0,42864.12,42737.21,42729.41,42874.83
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,583.0,42735.93,42688.14,42645.59,42750.08
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,584.0,42689.17,42646.19,42639.71,42705.82
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,585.0,42640.02,42689.06,42600.0,42719.77
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,586.0,42689.07,42726.04,42680.62,42732.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,587.0,42728.39,42705.3,42694.49,42749.89
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,588.0,42706.94,42730.77,42665.26,42749.99
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,589.0,42732.37,42752.79,42730.05,42794.2
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,590.0,42752.79,42648.69,42625.01,42756.43
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,591.0,42649.98,42605.28,42593.41,42701.99
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,592.0,42604.2,42664.02,42600.82,42676.76
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,593.0,42664.23,42686.49,42664.23,42722.51
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,594.0,42686.49,42705.15,42662.45,42730.46
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,595.0,42705.02,42624.55,42605.51,42733.4
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,596.0,42624.54,42612.73,42594.34,42650.66
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,597.0,42612.73,42624.49,42598.25,42649.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,598.0,42626.82,42629.15,42590.11,42634.3
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,599.0,42632.19,42650.54,42617.68,42665.38
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,600.0,42652.13,42663.22,42634.09,42666.03
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,601.0,42663.21,42715.48,42651.89,42719.81
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,602.0,42715.48,42660.88,42653.08,42717.59
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,603.0,42660.89,42684.63,42634.75,42691.14
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,604.0,42684.62,42634.56,42628.54,42729.53
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,605.0,42636.08,42643.04,42592.5,42646.56
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,606.0,42643.03,42626.23,42603.76,42647.28
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,607.0,42626.23,42601.13,42593.49,42638.8
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,608.0,42599.99,42574.88,42562.37,42615.64
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,609.0,42574.88,42502.27,42459.21,42574.88
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,610.0,42501.11,42509.69,42496.98,42555.6
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,611.0,42516.66,42581.69,42494.23,42581.69
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,612.0,42581.7,42536.96,42531.14,42591.58
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,613.0,42536.91,42520.57,42513.71,42545.07
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,614.0,42522.17,42563.21,42515.48,42564.88
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,615.0,42563.2,42606.64,42550.0,42609.27
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,616.0,42606.63,42590.29,42581.28,42638.51
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,617.0,42587.11,42603.53,42579.87,42621.08
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,618.0,42603.53,42653.34,42584.16,42658.9
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,619.0,42653.34,42670.79,42653.19,42674.73
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,620.0,42670.78,42643.08,42638.18,42678.62
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,621.0,42643.07,42614.55,42606.3,42643.08
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,622.0,42614.55,42620.04,42609.93,42649.86
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,623.0,42620.03,42618.57,42579.07,42647.58
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,624.0,42618.57,42615.07,42610.0,42641.09
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,625.0,42615.08,42732.53,42613.11,42746.42
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,626.0,42732.53,42713.63,42665.2,42738.11
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,627.0,42713.64,42668.03,42659.38,42728.53
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,628.0,42670.89,42692.05,42640.82,42699.79
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,629.0,42690.14,42606.27,42595.46,42698.31
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,630.0,42610.31,42546.11,42540.87,42610.31
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,631.0,42546.12,42563.67,42540.5,42585.73
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,632.0,42562.23,42600.3,42550.0,42601.77
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,633.0,42600.29,42604.48,42596.81,42632.67
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,634.0,42604.48,42623.27,42557.45,42623.27
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,635.0,42623.27,42648.85,42580.75,42648.85
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,636.0,42647.37,42602.75,42571.73,42648.3
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,637.0,42601.29,42656.25,42593.77,42684.28
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,638.0,42656.78,42709.84,42656.06,42715.97
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,639.0,42713.06,42693.33,42673.03,42726.41
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,640.0,42689.92,42723.48,42687.39,42735.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,641.0,42726.74,42692.87,42688.84,42729.13
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,642.0,42692.87,42679.76,42669.27,42709.96
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,643.0,42679.76,42728.11,42675.44,42728.21
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,644.0,42727.9,42752.75,42690.13,42758.33
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,645.0,42750.25,42737.67,42731.59,42785.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,646.0,42737.67,42700.01,42700.0,42744.24
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,647.0,42700.01,42724.16,42679.76,42724.16
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,648.0,42729.08,42747.55,42711.43,42757.06
